run_id,likelihood,seed,temperature,label_noise,_timestamp,csgld/train/epoch,csgld/test/bma_acc,csgld/test/total_loss,csgld/test/bma_ce_nll,csgld/train/mini_loss,_step,_wandb,_runtime,csgld/test/acc,csgld/test/bma_nll,csgld/train/mini_idx,noise
29holtv9,softmax,,10.0,0.8,1644613969,499,0.0093,53147.53125,53420.2890625,531168.5,500,{'runtime': 61834},61833,0.0056,0.0,750,
n4nqk4x5,softmax,,3.0,0.8,1644613604,499,0.0311,52215.75390625,52308.93359375,534029.4375,500,{'runtime': 62502},62500,0.0172,0.0,750,
sugd9qm7,softmax,,1e-05,0.8,1644613549,499,0.0605,98322.28125,80278.1484375,3855.39599609375,500,{'runtime': 62447},62445,0.0499,0.0,750,
t9uh4j5o,softmax,,0.0001,0.8,1644612741,499,0.0615,99226.1796875,81143.6015625,1311.9068603515625,500,{'runtime': 61638},61637,0.0485,0.0,750,
47fmt42q,softmax,,0.001,0.8,1644607928,499,0.0621,97938.1015625,80166.015625,998.9345703125,500,{'runtime': 61774},61773,0.0518,0.0,750,
hr0ds8ar,softmax,,0.1,0.8,1644608815,499,0.1014,61050.484375,52738.625,219018.3125,500,{'runtime': 62662},62661,0.0641,0.0,750,
ywhscy50,softmax,,0.01,0.8,1644608266,499,0.0596,96781.9140625,78102.5859375,3974.763671875,500,{'runtime': 62112},62111,0.0466,0.0,750,
qla96b55,softmax,,1.0,0.8,1644607921,499,0.0714,49878.87109375,50267.96484375,528529.125,500,{'runtime': 61769},61768,0.0548,0.0,750,
r6cwjc5u,softmax,,10.0,0.5,1644608256,499,0.069,49349.62890625,49895.37890625,531335.0625,500,{'runtime': 62104},62103,0.0445,0.0,750,
3g0x6e4a,softmax,,3.0,0.5,1644608243,499,0.1907,41973.26953125,42783.5546875,491390.40625,500,{'runtime': 62092},62090,0.152,0.0,750,
1zt3c5e2,softmax,,0.0001,0.5,1644607720,499,0.2666,64646.7890625,54813.42578125,1599.5029296875,500,{'runtime': 61599},61598,0.2335,0.0,750,
ql7lp2eq,softmax,,1e-05,0.5,1644607759,499,0.2603,65166.65234375,55101.76171875,598.062255859375,500,{'runtime': 61637},61637,0.2264,0.0,750,
byfolc7v,softmax,,0.001,0.5,1644608468,499,0.2718,64094.4375,53927.2578125,1161.0821533203125,500,{'runtime': 62470},62468,0.2279,0.0,750,
lzewxrdd,softmax,,0.01,0.5,1644607511,499,0.2759,63803.77734375,53550.6328125,3111.489013671875,500,{'runtime': 61512},61511,0.2241,0.0,750,
0bgukqvb,softmax,,0.1,0.5,1644607757,499,0.3079,53326.01953125,43048.9609375,79199.328125,500,{'runtime': 61759},61759,0.212,0.0,750,
6cxeuko3,softmax,,1.0,0.5,1644607564,499,0.3094,35347.55859375,36194.53515625,468439.78125,500,{'runtime': 61567},61566,0.2801,0.0,750,
9lm4lv5y,softmax,,0.0001,0.2,1644607937,499,0.4659,41325.44140625,36345.90625,1244.9564208984375,500,{'runtime': 61941},61939,0.4324,0.0,750,
etvhl93i,softmax,,1e-05,0.2,1644607629,499,0.4689,41037.546875,35950.68359375,217.4735107421875,500,{'runtime': 61632},61631,0.4363,0.0,750,
lh8ov5ag,softmax,,10.0,0.2,1644607674,499,0.1747,41386.52734375,42239.796875,447303.28125,500,{'runtime': 61677},61676,0.1231,0.0,750,
oc837h69,softmax,,3.0,0.2,1644607993,499,0.3307,32975.26171875,33703.26953125,380296.03125,500,{'runtime': 61996},61995,0.2671,0.0,750,
of29kqph,softmax,,0.001,0.2,1644582685,499,0.4753,40450.1796875,35340.08984375,1429.1009521484375,500,{'runtime': 46996},46995,0.4438,0.0,750,
iiut3v3c,softmax,,0.01,0.2,1644596283,499,0.4718,40663.421875,35318.60546875,816.66650390625,500,{'runtime': 61747},61746,0.4218,0.0,750,
ctm1f565,softmax,,10.0,0.1,1644596064,499,0.2079,39359.10546875,40138.40234375,423452.375,500,{'runtime': 61648},61647,0.1511,0.0,750,
gml4jb5m,softmax,,0.1,0.2,1644596499,499,0.4803,38629.3359375,32330.193359375,33149.48046875,500,{'runtime': 62082},62082,0.3964,0.0,750,
iy9zt6zg,softmax,,1.0,0.2,1644596782,499,0.4505,26300.650390625,26941.265625,322521.21875,500,{'runtime': 62367},62365,0.4029,0.0,750,
6q2c2jxl,softmax,,3.0,0.1,1644596362,499,0.3586,30417.810546875,31447.951171875,349919.0,500,{'runtime': 62006},62005,0.3056,0.0,750,
ofo4sbra,softmax,,1e-05,0.1,1644598174,499,0.531,34163.734375,30446.326171875,383.0230712890625,500,{'runtime': 63861},63861,0.5074,0.0,750,
ldngow20,softmax,,0.0001,0.1,1644595900,499,0.5274,34057.01953125,30339.982421875,582.7340087890625,500,{'runtime': 61604},61602,0.5057,0.0,750,
ilvpywpd,softmax,,0.001,0.1,1644581165,499,0.5342,34197.15625,30384.498046875,381.94573974609375,500,{'runtime': 46992},46991,0.5084,0.0,750,
a0owttaz,softmax,,0.01,0.1,1644581173,499,0.5291,34442.40625,30226.806640625,2140.209716796875,500,{'runtime': 47000},46999,0.492,0.0,750,
wmypbx7t,softmax,,1.0,0.1,1644595671,499,0.4914,23791.861328125,24445.484375,280634.34375,500,{'runtime': 61498},61497,0.4444,0.0,750,
ytl0vgfp,softmax,,0.1,0.1,1644595980,499,0.5325,33395.87890625,28395.45703125,21081.3125,500,{'runtime': 61808},61806,0.4645,0.0,750,
al2bx1wz,softmax,,3.0,0.0,1644581216,499,0.4041,28142.474609375,28926.724609375,256847.578125,500,{'runtime': 47097},47096,0.3413,0.0,750,
tirf0k9t,softmax,,10.0,0.0,1644581059,499,0.2381,37378.58984375,38277.66796875,367759.375,500,{'runtime': 46939},46939,0.1822,0.0,750,
pzt7x28m,softmax,,1e-05,0.0,1644580965,499,0.5971,26986.365234375,24516.576171875,181.56724548339844,500,{'runtime': 46899},46898,0.5905,0.0,750,
qhkn1m1j,softmax,,0.001,0.0,1644595639,499,0.5972,27507.59765625,24772.14453125,679.9357299804688,500,{'runtime': 61573},61572,0.5811,0.0,750,
yxq82wit,softmax,,0.0001,0.0,1644596270,499,0.6047,26853.51171875,24299.38671875,283.2054138183594,500,{'runtime': 62205},62203,0.5906,0.0,750,
17d0qh6z,softmax,,0.01,0.0,1644593904,499,0.6024,27094.740234375,24325.630859375,1722.4609375,500,{'runtime': 62970},62970,0.5808,0.0,750,
das889k1,softmax,,0.1,0.0,1644592677,499,0.5902,26958.34765625,23677.84375,8878.5283203125,500,{'runtime': 61867},61866,0.5554,0.0,750,
w3j8k2an,softmax,,1.0,0.0,1644593195,499,0.5202,22373.828125,22787.005859375,167958.234375,500,{'runtime': 62436},62434,0.4722,0.0,750,
6a1wnl68,dirichlet,,,0.8,1644837034,499,0.0086,1477423.5,52978.2265625,14774393.0,500,{'runtime': 47350},47349,0.0075,1477441.875,750,1.0
5nnf1hqw,dirichlet,,,0.8,1644851032,499,0.0126,1947105.375,52973.5625,19471508.0,500,{'runtime': 61872},61871,0.0056,1947132.375,750,0.5
5rhtfzbo,dirichlet,,,0.8,1644850716,499,0.0858,3651694.5,51748.02734375,36576244.0,500,{'runtime': 61571},61569,0.0728,3653162.5,750,0.01
nsl3pv2t,dirichlet,,,0.8,1644852148,499,0.0311,2787245.75,52869.69921875,27874762.0,500,{'runtime': 63002},63001,0.0194,2787262.0,750,0.1
7xzm24gn,dirichlet,,,0.8,1644851212,499,0.118,6320730.0,56149.0,51178220.0,500,{'runtime': 62079},62078,0.0819,6176903.5,750,1e-05
alkxlkdg,dirichlet,,,0.8,1644851713,499,0.1398,5276736.0,48165.88671875,48757040.0,500,{'runtime': 62580},62579,0.1062,5215277.5,750,0.0001
mt30qqdo,dirichlet,,,0.8,1644851310,499,0.1061,7408797.5,66777.453125,52892712.0,500,{'runtime': 62177},62176,0.0702,7210652.0,750,1e-06
rbf120sw,dirichlet,,,0.8,1644851799,499,0.126,4395194.0,48704.9140625,44076460.0,500,{'runtime': 62665},62665,0.122,4402805.0,750,0.001
lwf8dxcy,dirichlet,,,0.5,1644850913,499,0.0162,1477453.875,52972.46484375,14774985.0,500,{'runtime': 62915},62914,0.0069,1477476.5,750,1.0
xl0quezk,dirichlet,,,0.5,1644849931,499,0.0259,1947027.375,52941.4140625,19470468.0,500,{'runtime': 62900},62898,0.0141,1947046.875,750,0.5
m34dsq5q,dirichlet,,,0.5,1644848817,499,0.2718,3590694.25,43426.98046875,36296244.0,500,{'runtime': 62279},62278,0.281,3601929.75,750,0.01
ytseq9gl,dirichlet,,,0.5,1644848254,499,0.0922,2784829.0,52206.62109375,27862464.0,500,{'runtime': 61717},61715,0.0773,2785082.5,750,0.1
k0qqu2qo,dirichlet,,,0.5,1644830453,499,0.3932,4958645.0,34992.17578125,45312072.0,500,{'runtime': 47296},47294,0.325,4898302.0,750,0.0001
wsht92ns,dirichlet,,,0.5,1644846111,499,0.3749,4219095.0,33131.13671875,42635756.0,500,{'runtime': 62953},62952,0.3679,4232489.5,750,0.001
afvefg8z,dirichlet,,,0.5,1644845008,499,0.3635,5713724.5,42613.3203125,46975020.0,500,{'runtime': 62159},62158,0.274,5605371.5,750,1e-05
hdn1tq0b,dirichlet,,,0.5,1644845283,499,0.3469,6497704.5,50430.02734375,48240080.0,500,{'runtime': 62434},62433,0.2641,6359843.5,750,1e-06
mijimk64,dirichlet,,,0.2,1644829686,499,0.0271,1477371.5,52946.4765625,14774051.0,500,{'runtime': 47024},47023,0.014,1477397.75,750,1.0
nmrxpu0g,dirichlet,,,0.2,1644844684,499,0.0535,1946892.5,52824.65625,19469682.0,500,{'runtime': 62078},62077,0.0358,1946874.375,750,0.5
pmj8iehz,dirichlet,,,0.2,1644844978,499,0.2014,2777219.25,49753.57421875,27804664.0,500,{'runtime': 62481},62480,0.2037,2778815.5,750,0.1
cvfjmwys,dirichlet,,,0.2,1644829544,499,0.4232,3540557.0,33992.37109375,35562336.0,500,{'runtime': 47232},47231,0.4299,3555279.25,750,0.01
2t5ehnu3,dirichlet,,,0.2,1644828452,499,0.5141,4118109.0,24892.91796875,40461452.0,500,{'runtime': 47357},47357,0.4829,4119473.75,750,0.001
1th4ui4k,dirichlet,,,0.2,1644828293,499,0.5137,4711869.0,27899.45703125,43207576.0,500,{'runtime': 47211},47210,0.4643,4681768.5,750,0.0001
2j203s4r,dirichlet,,,0.2,1644828036,499,0.5048,5322753.5,33329.0078125,45148704.0,500,{'runtime': 47187},47186,0.4466,5261427.0,750,1e-05
vwxymos1,dirichlet,,,0.2,1644673181,499,0.4966,5960993.5,38529.73046875,46858952.0,500,{'runtime': 61938},61937,0.4439,5871357.5,750,1e-06
3krdmb1h,dirichlet,,,0.1,1644650577,499,0.0157,1477452.75,52965.40234375,14774875.0,500,{'runtime': 47138},47137,0.0125,1477412.375,750,1.0
hb0lieiw,dirichlet,,,0.1,1644664939,499,0.0433,1946885.625,52834.38671875,19470728.0,500,{'runtime': 61661},61660,0.0327,1946909.375,750,0.5
ef37xcpf,dirichlet,,,0.1,1644662260,499,0.2267,2775662.25,48950.9765625,27795948.0,500,{'runtime': 61969},61968,0.2287,2777532.5,750,0.1
nc8oq8qa,dirichlet,,,0.1,1644662732,499,0.4352,3538323.25,32681.16015625,35373496.0,500,{'runtime': 62441},62440,0.4348,3551815.75,750,0.01
wzkuzmow,dirichlet,,,0.1,1644662347,499,0.5343,4100313.75,23903.310546875,39566072.0,500,{'runtime': 62062},62061,0.5067,4105459.25,750,0.001
b8dicwdn,dirichlet,,,0.1,1644661661,499,0.5395,5225943.0,30806.912109375,44816460.0,500,{'runtime': 61595},61594,0.4905,5177046.5,750,1e-05
o4qkozv0,dirichlet,,,0.0,1644662804,499,0.0236,1477406.5,52935.76171875,14772958.0,500,{'runtime': 62738},62737,0.0142,1477387.25,750,1.0
p6r5mdzk,dirichlet,,,0.0,1644662634,499,0.0556,1946761.25,52753.1015625,19469086.0,500,{'runtime': 62568},62567,0.0443,1946826.875,750,0.5
sn9r1qql,dirichlet,,,0.1,1644662733,499,0.5498,5766637.5,34149.02734375,46607968.0,500,{'runtime': 62668},62666,0.5073,5698930.5,750,1e-06
tob4is7w,dirichlet,,,0.1,1644661985,499,0.5554,4640471.0,25550.326171875,42191508.0,500,{'runtime': 61919},61918,0.51,4618497.5,750,0.0001
zg6ei17r,dirichlet,,,0.0,1644662745,499,0.2802,2771761.75,47065.8984375,27681550.0,500,{'runtime': 62679},62678,0.2793,2773868.0,750,0.1
k3vsz8bv,dirichlet,,,0.0,1644661910,499,0.4936,3521251.0,29083.505859375,35032196.0,500,{'runtime': 61847},61846,0.4899,3533954.75,750,0.01
jmq964t0,dirichlet,,,0.0,1644661954,499,0.5722,5114960.5,28326.513671875,44297992.0,500,{'runtime': 62132},62131,0.5416,5084290.0,750,1e-05
sm2ethel,dirichlet,,,0.0,1644662094,499,0.5584,4078449.5,22754.19140625,39138780.0,500,{'runtime': 62272},62271,0.5308,4086628.0,750,0.001
z2f3povx,dirichlet,,,0.0,1644661769,499,0.5838,4593356.5,24502.912109375,41634412.0,500,{'runtime': 61947},61946,0.5446,4575136.0,750,0.0001
0fdk0ihd,dirichlet,,,0.0,1644646999,499,0.5762,5622081.5,31946.578125,46144320.0,500,{'runtime': 47201},47200,0.5521,5576523.5,750,1e-06
